epoch,train_loss,train_acc,val_loss,val_acc,real_n1_acc,lr
1,2.039885,0.822081,1.402554,0.940383,0.909932,0.00029970
2,1.300758,0.961140,1.313753,0.954256,0.924354,0.00029882
3,1.211220,0.977891,1.273268,0.960483,0.924898,0.00029734
4,1.163298,0.986308,1.250781,0.964665,0.927347,0.00029529
5,1.131960,0.991403,1.236814,0.965862,0.931156,0.00029266
6,1.112751,0.994647,1.211967,0.969731,0.932245,0.00028947
7,1.100820,0.996002,1.205420,0.970984,0.940136,0.00028572
8,1.091239,0.997162,1.201953,0.970873,0.924354,0.00028145
9,1.084446,0.997755,1.195344,0.971463,0.923810,0.00027665
10,1.078229,0.998329,1.189099,0.972623,0.931701,0.00027135
11,1.073904,0.998727,1.179986,0.974355,0.927891,0.00026558
12,1.072220,0.998525,1.180349,0.973508,0.931156,0.00025935
13,1.065870,0.999152,1.179007,0.973471,0.935782,0.00025268
14,1.063562,0.999294,1.174410,0.974668,0.933333,0.00024561
15,1.061585,0.999369,1.163005,0.976676,0.933061,0.00023817
16,1.058860,0.999568,1.167921,0.975461,0.929252,0.00023037
17,1.057155,0.999583,1.160272,0.976437,0.933605,0.00022226
18,1.055071,0.999756,1.162608,0.975884,0.927891,0.00021387
19,1.054622,0.999662,1.154119,0.977395,0.925986,0.00020522
20,1.052140,0.999775,1.155789,0.977119,0.938503,0.00019635
21,1.051931,0.999745,1.151351,0.978095,0.920816,0.00018730
22,1.049560,0.999880,1.147865,0.978721,0.928163,0.00017811
23,1.048555,0.999929,1.147460,0.978316,0.919184,0.00016880
24,1.047872,0.999929,1.143795,0.979458,0.922449,0.00015942
25,1.047299,0.999902,1.148671,0.978703,0.917823,0.00015000
26,1.046352,0.999951,1.143905,0.979440,0.919728,0.00014058
27,1.045390,0.999955,1.142460,0.979458,0.931701,0.00013120
28,1.045357,0.999914,1.142714,0.979311,0.927347,0.00012189
29,1.044446,0.999981,1.140656,0.980177,0.919456,0.00011270
30,1.043802,0.999992,1.140813,0.979753,0.924354,0.00010365
31,1.043529,0.999989,1.139580,0.979919,0.919184,0.00009478
32,1.043202,0.999989,1.140146,0.980085,0.925986,0.00008613
33,1.042843,0.999996,1.141795,0.979422,0.918912,0.00007774
34,1.042652,0.999981,1.141807,0.979606,0.917823,0.00006963
35,1.042357,0.999992,1.141318,0.979753,0.916190,0.00006183
36,1.042101,0.999996,1.140221,0.979993,0.918639,0.00005439
