epoch,train_loss,train_acc,val_loss,val_acc,real_n1_acc,lr
1,1.150650,0.986034,1.142008,0.987122,0.951837,0.00001998
2,1.121029,0.992218,1.135022,0.987730,0.954014,0.00001992
3,1.104820,0.995825,1.131538,0.988338,0.950476,0.00001982
4,1.093119,0.998097,1.130260,0.988357,0.956463,0.00001969
5,1.084625,0.999260,1.128631,0.988320,0.956190,0.00001951
6,1.078784,0.999763,1.128571,0.987804,0.956463,0.00001930
7,1.074500,0.999917,1.127765,0.988338,0.957279,0.00001905
8,1.071382,0.999992,1.128440,0.987804,0.965714,0.00001876
9,1.068811,0.999996,1.126012,0.988025,0.965170,0.00001844
10,1.066794,0.999996,1.126297,0.988062,0.965986,0.00001809
11,1.065040,0.999992,1.125648,0.987951,0.967347,0.00001771
